Hisse,Değişim (%),Piyasa Değeri (mn $),Sektör,Son Kapanış,Önceki Kapanış
PENGD,-2.3319626499796775,41.53333333333334,Temel Tüketim,7.119999885559082,7.289999961853027
PSDTC,-2.461132087554619,18.636750933333335,Sanayi,75.30000305175781,77.19999694824219
PKENT,-2.2580617034490205,175.924224,Tüketim,212.10000610351562,217.0
PETUN,-2.026340542898677,97.77820159999999,Temel Tüketim,9.670000076293945,9.869999885559082
PINSU,-1.8838286925424312,59.22666666666667,Temel Tüketim,6.25,6.369999885559082
PNSUT,-1.590674097033274,97.33389653333333,Temel Tüketim,9.279999732971191,9.430000305175781
PKART,-3.5112361055539636,52.097497600000004,Sanayi,68.69999694824219,71.19999694824219
PLTUR,-9.339887254798878,210.6481664,Sanayi,25.81999969482422,28.479999542236328
PRZMA,0.2574000125560982,18.696,Sanayi,7.789999961853027,7.769999980926514
RTALB,-3.355310697254184,53.76666453333333,Sağlık,16.1299991607666,16.690000534057617
RUBNS,-3.744146284419312,61.2886656,Tüketim,24.68000030517578,25.639999389648438
SAFKR,3.265938373954221,78.02000213333334,Tüketim,66.4000015258789,64.30000305175781
SNICA,-1.8828482978560186,93.80000426666666,Tüketim,4.690000057220459,4.78000020980835
SANFM,2.2140259493263046,249.30000213333332,Temel Tüketim,49.86000061035156,48.779998779296875
SANKO,-3.460517546422021,108.8,Tüketim,21.760000228881836,22.540000915527344
SAMAT,-2.7258062345735143,22.204,Sanayi,18.200000762939453,18.709999084472656
SEGMN,0.796811992131617,120.76532906666667,Temel Tüketim,20.239999771118164,20.079999923706055
SELVA,3.796448002294981,33.410001066666666,Temel Tüketim,12.850000381469727,12.380000114440918
SERNT,-5.833334289951072,508.50000213333334,Diğer,10.170000076293945,10.800000190734863
SKYLP,-4.865647855286838,41.483332266666665,Sanayi,131.0,137.6999969482422
SMART,-1.3767166436583282,33.47686613333333,Teknoloji,31.520000457763672,31.959999084472656
SOKE,-1.5332142675529286,148.93134506666667,Temel Tüketim,11.5600004196167,11.739999771118164
SKTAS,-2.6030446620564134,33.22599893333334,Tüketim,4.489999771118164,4.610000133514404
SMRVA,-3.544652045394117,111.31333120000001,Finans,28.299999237060547,29.34000015258789
SEGYO,-3.3039668860747793,115.1555584,Gayrimenkul,4.389999866485596,4.539999961853027
SKYMD,-9.953915997556484,100.956672,Finans,19.540000915527344,21.700000762939453
TARKM,-2.6206896551724137,247.1000064,Hammadde,353.0,362.5
TATGD,-2.272731104063447,94.73759573333334,Temel Tüketim,11.609999656677246,11.880000114440918
TEKTU,-1.2562802029313505,39.291093333333336,Tüketim,3.930000066757202,3.9800000190734863
TMPOL,-3.714456785790605,39.19387306666667,Hammadde,82.94999694824219,86.1500015258789
TERA,-4.842105664704975,189.83999146666667,Finans,36.15999984741211,38.0
TLMAN,-2.7404653069591065,63.34999893333333,Sanayi,90.5,93.05000305175781
TSGYO,-5.1162780382105515,132.59999573333334,Gayrimenkul,6.119999885559082,6.449999809265137
TUCLK,-3.2325382135999723,55.68,Sanayi,9.279999732971191,9.59000015258789
MARBL,-0.9353793215191253,88.77300053333333,Hammadde,11.649999618530273,11.760000228881836
TRILC,1.7167448024748053,127.8259456,Sağlık,23.700000762939453,23.299999237060547
PRKAB,-2.892035673547484,217.31604480000001,Sanayi,30.219999313354492,31.1200008392334
TURGG,-4.291845493562231,105.86107733333333,Gayrimenkul,446.0,466.0
ULUSE,-2.9527560237676673,394.3999829333333,Sanayi,147.89999389648438,152.39999389648438
ULUUN,-2.7777790763539407,148.74999466666665,Temel Tüketim,5.949999809265137,6.119999885559082
USAK,-3.043475421480001,91.0583296,Sanayi,2.2300000190734863,2.299999952316284
UNLU,-1.7647111622106002,78.26287786666666,Finans,13.359999656677246,13.600000381469727
